charmmlipid.csv Version 2.0.3
residue,order,search,replace,TER,num_atom
DAPE,63, O12 DAPE, O32 PE  ,True,129
DAPE,64, O11 DAPE, O31 PE  ,True,129
DAPE,65, C1  DAPE, C3  PE  ,True,129
DAPE,66, HA  DAPE, HA  PE  ,True,129
DAPE,67, HB  DAPE, HB  PE  ,True,129
DAPE,68, C2  DAPE, C2  PE  ,True,129
DAPE,69, HS  DAPE, HX  PE  ,True,129
DAPE,70, O21 DAPE, O21 PE  ,True,129
DAPE,71, C21 DAPE, C21 PE  ,True,129
DAPE,72, O22 DAPE, O22 PE  ,True,129
DAPE,73, C3  DAPE, C1  PE  ,True,129
DAPE,74, HX  DAPE, HR  PE  ,True,129
DAPE,75, HY  DAPE, HS  PE  ,True,129
DAPE,76, O31 DAPE, O11 PE  ,True,129
DAPE,77, C31 DAPE, C11 PE  ,True,129
DAPE,78, O32 DAPE, O12 PE  ,True,129
DAPE,79, C22 DAPE, C12 AR  ,True,129
DAPE,80, H2R DAPE, H2R AR  ,True,129
DAPE,81, H2S DAPE, H2S AR  ,True,129
DAPE,82, C23 DAPE, C13 AR  ,True,129
DAPE,83, H3R DAPE, H3R AR  ,True,129
DAPE,84, H3S DAPE, H3S AR  ,True,129
DAPE,85, C24 DAPE, C14 AR  ,True,129
DAPE,86, H4R DAPE, H4R AR  ,True,129
DAPE,87, H4S DAPE, H4S AR  ,True,129
DAPE,88, C25 DAPE, C15 AR  ,True,129
DAPE,89, H5R DAPE, H5R AR  ,True,129
DAPE,90, C26 DAPE, C16 AR  ,True,129
DAPE,91, H6R DAPE, H6R AR  ,True,129
DAPE,92, C27 DAPE, C17 AR  ,True,129
DAPE,93, H7R DAPE, H7R AR  ,True,129
DAPE,94, H7S DAPE, H7S AR  ,True,129
DAPE,95, C28 DAPE, C18 AR  ,True,129
DAPE,96, H8R DAPE, H8R AR  ,True,129
DAPE,97, C29 DAPE, C19 AR  ,True,129
DAPE,98, H9R DAPE, H9R AR  ,True,129
DAPE,99,C210 DAPE,C110 AR  ,True,129
DAPE,100,H10R DAPE,H10R AR  ,True,129
DAPE,101,H10S DAPE,H10S AR  ,True,129
DAPE,102,C211 DAPE,C111 AR  ,True,129
DAPE,103,H11R DAPE,H11R AR  ,True,129
DAPE,104,C212 DAPE,C112 AR  ,True,129
DAPE,105,H12R DAPE,H12R AR  ,True,129
DAPE,106,C213 DAPE,C113 AR  ,True,129
DAPE,107,H13R DAPE,H13R AR  ,True,129
DAPE,108,H13S DAPE,H13S AR  ,True,129
DAPE,109,C214 DAPE,C114 AR  ,True,129
DAPE,110,H14R DAPE,H14R AR  ,True,129
DAPE,111,C215 DAPE,C115 AR  ,True,129
DAPE,112,H15R DAPE,H15R AR  ,True,129
DAPE,113,C216 DAPE,C116 AR  ,True,129
DAPE,114,H16R DAPE,H16R AR  ,True,129
DAPE,115,H16S DAPE,H16S AR  ,True,129
DAPE,116,C217 DAPE,C117 AR  ,True,129
DAPE,117,H17R DAPE,H17R AR  ,True,129
DAPE,118,H17S DAPE,H17S AR  ,True,129
DAPE,119,C218 DAPE,C118 AR  ,True,129
DAPE,120,H18R DAPE,H18R AR  ,True,129
DAPE,121,H18S DAPE,H18S AR  ,True,129
DAPE,122,C219 DAPE,C119 AR  ,True,129
DAPE,123,H19R DAPE,H19R AR  ,True,129
DAPE,124,H19S DAPE,H19S AR  ,True,129
DAPE,125,C220 DAPE,C120 AR  ,True,129
DAPE,126,H20R DAPE,H20R AR  ,True,129
DAPE,127,H20S DAPE,H20S AR  ,True,129
DAPE,128,H20T DAPE,H20T AR  ,True,129
DAPG,0, C32 DAPG, C12 AR  ,True,131
DAPG,1, H2X DAPG, H2R AR  ,True,131
DAPG,2, H2Y DAPG, H2S AR  ,True,131
DAPG,3, C33 DAPG, C13 AR  ,True,131
DAPG,4, H3X DAPG, H3R AR  ,True,131
DAPG,5, H3Y DAPG, H3S AR  ,True,131
DAPG,6, C34 DAPG, C14 AR  ,True,131
DAPG,7, H4X DAPG, H4R AR  ,True,131
DAPG,8, H4Y DAPG, H4S AR  ,True,131
DAPG,9, C35 DAPG, C15 AR  ,True,131
DAPG,10, H5X DAPG, H5R AR  ,True,131
DAPG,11, C36 DAPG, C16 AR  ,True,131
DAPG,12, H6X DAPG, H6R AR  ,True,131
DAPG,13, C37 DAPG, C17 AR  ,True,131
DAPG,14, H7X DAPG, H7R AR  ,True,131
DAPG,15, H7Y DAPG, H7S AR  ,True,131
DAPG,16, C38 DAPG, C18 AR  ,True,131
DAPG,17, H8X DAPG, H8R AR  ,True,131
DAPG,18, C39 DAPG, C19 AR  ,True,131
DAPG,19, H9X DAPG, H9R AR  ,True,131
DAPG,20,C310 DAPG,C110 AR  ,True,131
DAPG,21,H10X DAPG,H10R AR  ,True,131
DAPG,22,H10Y DAPG,H10S AR  ,True,131
DAPG,23,C311 DAPG,C111 AR  ,True,131
DAPG,24,H11X DAPG,H11R AR  ,True,131
DAPG,25,C312 DAPG,C112 AR  ,True,131
DAPG,26,H12X DAPG,H12R AR  ,True,131
DAPG,27,C313 DAPG,C113 AR  ,True,131
DAPG,28,H13X DAPG,H13R AR  ,True,131
DAPG,29,H13Y DAPG,H13S AR  ,True,131
DAPG,30,C314 DAPG,C114 AR  ,True,131
DAPG,31,H14X DAPG,H14R AR  ,True,131
DAPG,32,C315 DAPG,C115 AR  ,True,131
DAPG,33,H15X DAPG,H15R AR  ,True,131
DAPG,34,C316 DAPG,C116 AR  ,True,131
DAPG,35,H16X DAPG,H16R AR  ,True,131
DAPG,36,H16Y DAPG,H16S AR  ,True,131
DAPG,37,C317 DAPG,C117 AR  ,True,131
DAPG,38,H17X DAPG,H17R AR  ,True,131
DAPG,39,H17Y DAPG,H17S AR  ,True,131
DAPG,40,C318 DAPG,C118 AR  ,True,131
DAPG,41,H18X DAPG,H18R AR  ,True,131
DAPG,42,H18Y DAPG,H18S AR  ,True,131
DAPG,43,C319 DAPG,C119 AR  ,True,131
